vm_id,user_id,project_id,image_ref,vcpus,memory_mb,root_gb,ephemeral_gb
38dcd327,7f7c4759,50c87cc4,74779b4a,4.0,11000.0,20.0,0.0
142620c0,1970b804,b3e720df,ebdd1c8c,2.0,5000.0,10.0,0.0
d7c5e120,1970b804,b3e720df,ebdd1c8c,2.0,5000.0,10.0,0.0
a66123af,1970b804,b3e720df,ebdd1c8c,8.0,23000.0,30.0,0.0
4ce84511,7f7c4759,50c87cc4,74779b4a,2.0,5000.0,10.0,0.0
03dad5b3,0fb4c56f,089f5c7f,5267158f,1.0,2000.0,10.0,0.0
2952a1f5,0fb4c56f,089f5c7f,5267158f,1.0,2000.0,10.0,0.0
8950fa37,8984204a,7fdd1b8b,ff7564db,4.0,11000.0,20.0,0.0
489588ce,a16f591f,f09054da,d0d0d492,4.0,11000.0,20.0,0.0
2eefd073,1970b804,b3e720df,ebdd1c8c,4.0,11000.0,20.0,0.0
bf9686cd,39786247,7d4a4a5a,ebdd1c8c,4.0,11000.0,20.0,0.0
d727b659,0fb4c56f,089f5c7f,5267158f,1.0,2000.0,10.0,0.0
f9bd564a,9ed7c4cb,7d4a4a5a,8236d8c3,8.0,16000.0,60.0,0.0
e47ffb5f,0fb4c56f,089f5c7f,4a4f3b6f,1.0,2000.0,10.0,0.0
97e9c26a,167938a6,f09054da,5267158f,1.0,2000.0,10.0,0.0
60a95b6b,1970b804,d986ba1f,e6bb8c9f,16.0,46000.0,40.0,0.0
c7206d16,f098d7fe,c5e1c75e,4a4f3b6f,16.0,46000.0,40.0,0.0
030aa3fc,e0ddb46a,0fc5927e,e6bb8c9f,16.0,46000.0,40.0,0.0
127950a0,167938a6,089f5c7f,e6bb8c9f,1.0,2000.0,10.0,0.0
a24e9939,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
3963ecc5,0fb4c56f,4d9169b2,5267158f,8.0,23000.0,30.0,0.0
d9f78734,0fb4c56f,4d9169b2,5267158f,2.0,5000.0,10.0,0.0
a291c2d3,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
1fe5084f,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
bbb8412f,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
35e4cb0c,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
948abc0d,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
e24a8cfd,0fb4c56f,43d3e415,eafb3cc8,48.0,94000.0,30.0,270.0
7f3283ad,d1180665,089f5c7f,4a4f3b6f,1.0,2000.0,10.0,0.0
58ea216d,7f03a38d,089f5c7f,263f5aff,1.0,2000.0,10.0,0.0
5af14a4e,56f318e5,089f5c7f,4a4f3b6f,1.0,2000.0,10.0,0.0
ee1ed9b5,5934ef68,089f5c7f,4a4f3b6f,1.0,2000.0,10.0,0.0
59dca731,37499268,089f5c7f,e6bb8c9f,1.0,2000.0,10.0,0.0
4fa3cc38,3ec83b74,089f5c7f,528a896f,1.0,2000.0,10.0,0.0
de02e950,a16f591f,7d4a4a5a,7d2eb906,32.0,92000.0,50.0,0.0
e5f9f66c,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
95c6a8d7,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
82db7e12,0fb4c56f,43d3e415,eafb3cc8,96.0,190000.0,30.0,350.0
daa743a0,8984204a,7fdd1b8b,ff7564db,16.0,46000.0,40.0,0.0
82c52e9e,a878bb6a,0633d671,1519c0f0,16.0,46000.0,40.0,0.0
0d6cc0f0,a878bb6a,0633d671,1519c0f0,16.0,46000.0,40.0,0.0
62b2b206,a878bb6a,0633d671,1519c0f0,16.0,46000.0,40.0,0.0
2301b62a,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
5340c675,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
9609dc6a,7de5e340,bcefe8f2,5dad223f,4.0,11000.0,20.0,0.0
2fdedfcb,7de5e340,bcefe8f2,5dad223f,4.0,11000.0,20.0,0.0
98898f94,7de5e340,bcefe8f2,5dad223f,4.0,11000.0,20.0,0.0
8d111ed6,7de5e340,bcefe8f2,5dad223f,4.0,11000.0,20.0,0.0
353fbd42,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
b425870f,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
1437f703,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
bef00477,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
3c22b263,7de5e340,bcefe8f2,5dad223f,4.0,11000.0,20.0,0.0
c5077dc3,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
2230427d,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
45ceb502,313ff7da,7d4a4a5a,e6bb8c9f,2.0,5000.0,10.0,0.0
3e12c133,313ff7da,7d4a4a5a,e6bb8c9f,4.0,11000.0,20.0,0.0
fef68a03,313ff7da,7d4a4a5a,e6bb8c9f,4.0,11000.0,20.0,0.0
dc42a3bb,313ff7da,7d4a4a5a,e6bb8c9f,4.0,11000.0,20.0,0.0
75014fcc,7f7c4759,50c87cc4,74779b4a,2.0,5000.0,10.0,0.0
634d0054,7de5e340,bcefe8f2,5dad223f,8.0,23000.0,30.0,0.0
0a4204ba,7de5e340,bcefe8f2,5dad223f,8.0,23000.0,30.0,0.0
d4b3d260,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
f0649092,7de5e340,bcefe8f2,5dad223f,8.0,23000.0,30.0,0.0
acaac591,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
912e8103,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
4cffe072,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
7cd54444,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
7e28815e,507c94d6,a5abeac5,e6bb8c9f,1.0,2000.0,10.0,0.0
24232404,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
4d6b1c08,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
ff68f2b7,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
ae723169,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
819eecf4,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
b0f031e3,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
3ca65d46,0fb4c56f,089f5c7f,5267158f,4.0,11000.0,20.0,0.0
c6c7d8a4,507c94d6,a5abeac5,e6bb8c9f,1.0,2000.0,10.0,0.0
7668169d,0fb4c56f,089f5c7f,5267158f,4.0,11000.0,20.0,0.0
0d8c9a5d,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
8a3b01ee,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
b10b813e,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
8ffd9cec,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
99c420da,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
0a64704a,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
1f343f93,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
f7d84049,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
e9ac9551,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
df6fe1ae,7f7c4759,43d3e415,37f08a62,128.0,370000.0,300.0,0.0
