,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
479,2,43e593b3,idle,slightly inefficient,6010,16003,37.55545835155908
480,2,43e593b3,low,slightly inefficient,214,16003,1.3372492657626693
481,2,43e593b3,medium,slightly inefficient,36,16003,0.22495782040867335
482,2,46de937b,extreme,efficient,3594,8849,40.61475872979997
483,2,46de937b,high,efficient,5038,8849,56.93298677816703
484,2,46de937b,low,slightly inefficient,12,8849,0.1356085433382303
485,2,46de937b,medium,efficient,13,8849,0.14690925528308285
486,2,46de937b,medium,slightly inefficient,27,8849,0.3051192225110182
487,2,46de937b,very_high,efficient,165,8849,1.8646174709006667
488,2,4786760b,idle, extremely inefficient,15998,16001,99.98125117180177
489,2,4786760b,idle,inefficient,3,16001,0.01874882819823761
490,2,497660f4,low,slightly inefficient,1,1,100.0
491,2,49964896,idle,slightly inefficient,2562,2566,99.84411535463757
492,2,49964896,low,slightly inefficient,4,2566,0.1558846453624318
493,2,51244a6f,idle, extremely inefficient,15841,16008,98.9567716141929
494,2,51244a6f,idle,inefficient,164,16008,1.024487756121939
495,2,51244a6f,idle,slightly inefficient,3,16008,0.018740629685157422
496,2,5433c3e6,extreme,efficient,1976,12489,15.821923292497397
497,2,5433c3e6,high,efficient,1583,12489,12.675154135639364
498,2,5433c3e6,idle, extremely inefficient,2,12489,0.016014092401313153
499,2,5433c3e6,idle,inefficient,8,12489,0.06405636960525261
500,2,5433c3e6,idle,slightly inefficient,4,12489,0.03202818480262631
501,2,5433c3e6,low,slightly inefficient,5492,12489,43.97469773400592
502,2,5433c3e6,medium,efficient,311,12489,2.4901913684041954
503,2,5433c3e6,medium,slightly inefficient,2835,12489,22.699975978861396
504,2,5433c3e6,very_high,efficient,278,12489,2.2259588437825286
505,2,54c3811d,low,slightly inefficient,1,2,50.0
506,2,54c3811d,medium,efficient,1,2,50.0
507,2,58512373,idle, extremely inefficient,954,956,99.7907949790795
508,2,58512373,idle,inefficient,2,956,0.20920502092050208
509,2,5d7db037,idle, extremely inefficient,15171,16005,94.78912839737582
510,2,5d7db037,idle,inefficient,191,16005,1.1933770696657293
511,2,5d7db037,idle,slightly inefficient,643,16005,4.01749453295845
512,2,5e87c22e,idle, extremely inefficient,15932,16010,99.51280449718925
513,2,5e87c22e,idle,inefficient,70,16010,0.43722673329169265
514,2,5e87c22e,idle,slightly inefficient,8,16010,0.04996876951905059
515,2,6a1acc69,idle, extremely inefficient,15554,16005,97.18213058419244
516,2,6a1acc69,idle,inefficient,179,16005,1.1184004998437989
517,2,6a1acc69,idle,slightly inefficient,221,16005,1.3808184942205561
518,2,6a1acc69,low,slightly inefficient,51,16005,0.31865042174320524
519,2,6bb5c698,idle, extremely inefficient,15491,16005,96.78850359262731
520,2,6bb5c698,idle,inefficient,233,16005,1.4557950640424868
521,2,6bb5c698,idle,slightly inefficient,44,16005,0.27491408934707906
522,2,6bb5c698,low,slightly inefficient,237,16005,1.4807872539831302
523,2,6d834fb8,extreme,efficient,712,16000,4.45
524,2,6d834fb8,high,efficient,2263,16000,14.143749999999999
525,2,6d834fb8,idle, extremely inefficient,12412,16000,77.575
526,2,6d834fb8,idle,inefficient,9,16000,0.056249999999999994
527,2,6d834fb8,idle,slightly inefficient,4,16000,0.025
528,2,6d834fb8,low,slightly inefficient,278,16000,1.7375000000000003
529,2,6d834fb8,medium,efficient,66,16000,0.41250000000000003
530,2,6d834fb8,medium,slightly inefficient,194,16000,1.2125000000000001
531,2,6d834fb8,very_high,efficient,62,16000,0.3875
532,2,764b2e98,extreme,efficient,2979,4538,65.64565888056413
533,2,764b2e98,high,efficient,99,4538,2.1815777875716176
534,2,764b2e98,low,slightly inefficient,277,4538,6.104010577346849
535,2,764b2e98,medium,efficient,79,4538,1.7408550022036138
536,2,764b2e98,medium,slightly inefficient,649,4538,14.301454385191715
537,2,764b2e98,very_high,efficient,455,4538,10.02644336712208
538,2,7da5db71,idle, extremely inefficient,15026,16006,93.87729601399475
539,2,7da5db71,idle,inefficient,23,16006,0.14369611395726603
540,2,7da5db71,idle,slightly inefficient,100,16006,0.6247657128576783
541,2,7da5db71,low,slightly inefficient,276,16006,1.7243533674871925
542,2,7da5db71,medium,slightly inefficient,581,16006,3.6298887917031113
543,2,7f4f3762,idle, extremely inefficient,15996,16001,99.96875195300294
544,2,7f4f3762,idle,inefficient,5,16001,0.031248046997062684
545,2,82415d68,idle, extremely inefficient,15806,16003,98.76898081609698
546,2,82415d68,idle,inefficient,197,16003,1.2310191839030182
547,2,85c6cd05,idle,slightly inefficient,5654,16002,35.33308336457942
548,2,85c6cd05,low,slightly inefficient,10348,16002,64.66691663542056
549,2,85ebbabd,idle,slightly inefficient,15046,16005,94.00812246173072
550,2,85ebbabd,low,slightly inefficient,180,16005,1.1246485473289598
551,2,85ebbabd,medium,slightly inefficient,779,16005,4.8672289909403315
552,2,88b02143,high,efficient,1,2,50.0
553,2,88b02143,idle,inefficient,1,2,50.0
554,2,8bab4dff,idle, extremely inefficient,14997,16007,93.69026051102642
555,2,8bab4dff,idle,inefficient,218,16007,1.3619041669269696
556,2,8bab4dff,idle,slightly inefficient,10,16007,0.062472668207659156
557,2,8bab4dff,low,slightly inefficient,2,16007,0.01249453364153183
558,2,8bab4dff,medium,slightly inefficient,780,16007,4.872868120197413
559,2,8d2843f5,low,slightly inefficient,16003,16003,100.0
560,2,98811351,idle,inefficient,59,2632,2.2416413373860182
561,2,98811351,idle,slightly inefficient,2573,2632,97.75835866261399
562,2,a22bdd7c,idle, extremely inefficient,16001,16005,99.97500781005935
563,2,a22bdd7c,idle,inefficient,4,16005,0.02499218994064355
564,2,a26788f6,idle, extremely inefficient,473,16007,2.9549572062222778
565,2,a26788f6,idle,inefficient,15255,16007,95.30205535078403
566,2,a26788f6,idle,slightly inefficient,195,16007,1.2182170300493533
567,2,a26788f6,low,slightly inefficient,84,16007,0.5247704129443369
568,2,a4ec376f,high, extremely inefficient,57,10915,0.5222171323866239
569,2,a4ec376f,high,efficient,36,10915,0.3298213467704993
570,2,a4ec376f,idle, extremely inefficient,3051,10915,27.952359138799814
571,2,a4ec376f,idle,inefficient,34,10915,0.31149793861658265
572,2,a4ec376f,idle,slightly inefficient,35,10915,0.320659642693541
573,2,a4ec376f,low,slightly inefficient,6855,10915,62.803481447549245
574,2,a4ec376f,medium, extremely inefficient,248,10915,2.272102611085662
575,2,a4ec376f,medium,efficient,200,10915,1.832340815391663
576,2,a4ec376f,medium,slightly inefficient,396,10915,3.628034814475493
577,2,a4ec376f,very_high, extremely inefficient,1,10915,0.009161704076958314
578,2,a4ec376f,very_high,efficient,2,10915,0.01832340815391663
579,2,a57bfdd7,high, extremely inefficient,15,15212,0.0986063633973179
580,2,a57bfdd7,high,efficient,57,15212,0.37470418090980806
581,2,a57bfdd7,idle, extremely inefficient,12104,15212,79.56876150407572
582,2,a57bfdd7,idle,inefficient,1485,15212,9.762029976334473
583,2,a57bfdd7,idle,slightly inefficient,14,15212,0.09203260583749671
584,2,a57bfdd7,low,slightly inefficient,705,15212,4.634499079673941
585,2,a57bfdd7,medium, extremely inefficient,34,15212,0.2235077570339206
586,2,a57bfdd7,medium,efficient,207,15212,1.3607678148829871
587,2,a57bfdd7,medium,slightly inefficient,590,15212,3.878516960294504
588,2,a57bfdd7,very_high,efficient,1,15212,0.006573757559821194
589,2,b1b36b26,idle, extremely inefficient,16003,16007,99.97501093271694
590,2,b1b36b26,idle,inefficient,4,16007,0.02498906728306366
591,2,b6002837,idle, extremely inefficient,15322,16009,95.70866387656943
592,2,b6002837,idle,inefficient,687,16009,4.29133612343057
593,2,bb37a269,idle, extremely inefficient,15940,16003,99.60632381428482
594,2,bb37a269,idle,inefficient,63,16003,0.3936761857151784
595,2,cbf4a974,extreme,efficient,5511,7892,69.83020780537252
596,2,cbf4a974,high,efficient,176,7892,2.230106436898125
597,2,cbf4a974,low,slightly inefficient,434,7892,5.499239736441966
598,2,cbf4a974,medium,efficient,50,7892,0.6335529650278764
599,2,cbf4a974,medium,slightly inefficient,715,7892,9.05980739989863
600,2,cbf4a974,very_high,efficient,1006,7892,12.747085656360872
601,2,ce52f982,idle, extremely inefficient,15772,16007,98.53189229712001
602,2,ce52f982,idle,inefficient,59,16007,0.36858874242518896
603,2,ce52f982,idle,slightly inefficient,133,16007,0.8308864871618667
604,2,ce52f982,low,slightly inefficient,43,16007,0.2686324732929343
605,2,d424b38d,idle, extremely inefficient,15997,16004,99.9562609347663
606,2,d424b38d,idle,inefficient,7,16004,0.04373906523369158
607,2,d7ea95c2,low,slightly inefficient,1,1,100.0
608,2,de50c1fe,idle, extremely inefficient,15994,16000,99.9625
609,2,de50c1fe,idle,inefficient,6,16000,0.0375
610,2,e2b6ed0e,idle,inefficient,3615,16006,22.585280519805075
611,2,e2b6ed0e,idle,slightly inefficient,12389,16006,77.40222416593777
612,2,e2b6ed0e,low,slightly inefficient,2,16006,0.012495314257153568
613,2,e41df102,idle, extremely inefficient,1351,16000,8.44375
614,2,e41df102,idle,inefficient,14370,16000,89.8125
615,2,e41df102,idle,slightly inefficient,279,16000,1.7437500000000001
616,2,e4362c19,idle,inefficient,22064,23196,95.11984824969822
617,2,e4362c19,idle,slightly inefficient,1132,23196,4.880151750301776
618,2,fd5a1b56,idle, extremely inefficient,13187,16002,82.40844894388202
619,2,fd5a1b56,idle,inefficient,2809,16002,17.55405574303212
620,2,fd5a1b56,idle,slightly inefficient,6,16002,0.03749531308586427
