hour,6764465,06764465,184b905d,3a4828f5,46362b76,4985a7cf,4d8b845e,578d99bd,6342c79e,668c569c,7c804642,972da8ab,a484c600,a639d055,a9e38583,bb1bcaff,c9900ab9,d35334d1,d8d6d1e0,dda1bb77,fb77ceef
10,267.3393163265306,268.88144736842105,286.80830188679244,316.1428504273504,310.04374786324786,246.67797008547006,297.52426495726496,261.4937910447761,289.75585555555557,269.91470000000004,285.13481196581193,290.56573711340207,266.47731855370813,276.3491068376068,309.7601239316239,307.93621794871797,293.1852064676617,335.27877826086956,296.48926495726494,321.36408547008546,264.8510683760684
11,267.1199489795918,267.7827105263158,284.0603340471092,316.96582905982905,310.0169572649573,247.30272222222223,298.37134188034184,260.6813905472637,298.45775555555554,270.58054444444446,286.1392051282051,290.78877593360994,266.88085714285717,277.2759658119658,312.31822222222223,308.1051282051282,294.2357288557214,336.1297956521739,301.21336324786324,320.87360256410255,264.92613675213676
12,267.1237806122449,268.8397894736842,285.2539358974359,320.52211965811966,312.5401794871795,248.72576495726497,299.6484957264957,261.15605721393035,293.6156111111111,270.09824444444445,289.42127350427353,292.48348437500005,266.3698121693122,282.80122222222224,312.78944871794874,309.3148333333333,294.61259701492537,340.44262974269515,298.32657264957265,321.79164957264953,264.7684615384615
13,267.250806122449,266.56363157894737,282.46223931623933,323.42585042735044,313.04298717948717,248.88950854700852,303.40913675213676,261.71510696517413,286.08425555555556,270.24887777777775,293.8008333333333,290.18566666666663,266.91983068783065,289.0508846153846,314.70226495726496,310.37916666666666,295.46577860696516,335.879350877193,293.9760598290598,323.67488034188034,264.7709700854701
14,266.8861362480936,266.1859785522788,281.77164102564103,324.13347435897435,313.14660683760684,249.36682905982906,303.83428205128206,260.8372388059701,277.55822222222224,269.9693222222222,293.34250427350423,290.31893229166667,266.49683862433864,289.39238034188037,314.5177564102564,311.86047863247865,294.90355223880596,335.75004824561404,296.98361111111114,322.9493290598291,264.77879914529916
15,267.3780505050505,266.6759166666667,283.99324358974354,324.4141752136752,312.9586111111111,252.593547008547,306.72434615384617,260.989460199005,281.6110444444445,270.00475555555556,293.09717094017094,290.29905729166666,266.21928042328045,289.4807136752137,314.3410641025641,313.88713675213677,294.87848756218904,344.3779035087719,296.9714914529915,322.2691709401709,264.899905982906
16,267.9869191919192,265.74055555555555,281.05518803418806,329.8283846153846,314.9530726495726,253.50249145299142,302.9583333333333,260.6563084577114,276.22484444444444,271.80087777777777,300.3500384615385,290.23993229166666,267.0720476190476,289.0274273504274,315.5801495726496,320.11685897435893,294.67588308457715,342.76615350877194,298.21218803418805,320.765735042735,265.00180341880343
17,267.72814271255066,266.4265555555555,282.1985316780822,333.5357919520548,314.074636130137,257.1558946917808,300.0634503424657,260.72259471585244,269.21944444444443,271.60363333333333,308.3268065068493,290.5139822546973,266.82060180275715,284.06328767123284,310.1508561643836,320.8493493150685,294.7504885343968,343.87373901581725,294.04276969178085,321.0846104452055,264.91372431506846
18,267.2440204081633,269.5322777777778,280.74425862068966,329.0487327586207,314.5609870689655,257.2183836206897,298.09936206896555,261.7116432160804,273.9573555555555,271.38047777777774,304.56846982758617,290.4469210526316,266.48501069518716,281.78150862068964,309.7953318965517,320.3067715517241,294.70379145728646,345.48013274336284,294.0643318965517,322.10275431034484,264.698400862069
19,266.94429081632654,266.16211111111113,280.2161724137931,329.0445172413793,314.50092672413797,255.7765387931034,295.69392672413795,260.9581457286432,263.9516888888889,271.5563888888889,306.0570129310345,290.2723157894737,266.4273556149733,280.50753879310344,309.44569396551725,318.38361206896553,294.6716859296483,343.52799115044246,293.8168017241379,322.1185603448276,264.82638793103445
20,267.2682244897959,265.6271944444444,280.00649999999996,327.9752155172414,314.6924956896552,253.4079827586207,293.71943534482756,260.9109798994975,263.1361,271.9916666666667,306.50674137931037,290.2741157894737,266.4145267379679,280.26469827586203,307.267974137931,317.9683318965517,294.6295628140703,340.31592477876103,294.35316810344824,321.1232198275862,264.8841939655172
21,267.3508112244898,266.7984722222222,278.8329870689655,323.20625862068965,315.5595431034483,253.25784482758618,292.0107370689655,260.68825125628143,262.8443222222222,271.4748777777778,302.2344956896552,291.0570578947369,266.77110427807486,280.27041810344826,306.1778103448276,316.22311637931034,294.6683869346734,339.1087345132743,294.44144827586206,320.807775862069,264.7584698275862
22,267.21811734693875,269.8216111111111,279.4777413793103,320.99343965517244,315.5380689655172,249.99031465517243,292.93130603448276,261.6123894472362,263.13975555555555,271.65012222222225,300.9414353448276,290.3394631578947,266.8219465240642,280.1952629310345,304.6491379310345,315.7223146551724,294.502,340.4147433628318,293.57080603448276,318.0976810344828,264.91055603448274
23,268.3850969387755,267.47225,278.78980172413793,318.16407758620693,313.2736293103448,249.82718534482757,292.1084525862069,260.59250502512566,262.7887666666667,271.5158,300.40443965517244,290.13640526315794,266.86361764705885,279.3189353448276,306.447650862069,315.1903663793104,294.74117839195975,342.04671681415925,294.3749439655172,315.66131896551724,264.9715086206897
