hour,366801,22655375,49964896,58512373,98811351,00366801,0049db0c,0064a367,0065ef1b,05c5ef00,0861be67,111896c8,1125a01c,13a6f4c8,1d247e53,1e64c783,22655375,25fe225b,28e8b849,2eea5215,2fded806,366801,391ea34d,3d7960e7,417242bc,43e593b3,46de937b,4786760b,497660f4,49964896,51244a6f,5433c3e6,54c3811d,58512373,5d7db037,5e87c22e,6a1acc69,6bb5c698,6d834fb8,764b2e98,788b0a71,7c7d255d,7da5db71,7f4f3762,82415d68,85c6cd05,85ebbabd,8621bb59,88b02143,8bab4dff,8d2843f5,98811351,a22bdd7c,a26788f6,a4ec376f,a57bfdd7,b1b36b26,b6002837,b88cae4d,bb37a269,cbf4a974,ce52f982,d424b38d,d7ea95c2,de50c1fe,e2b6ed0e,e41df102,e4362c19,e998d442,ea7f6999,fd5a1b56
10,408.43664843749997,410.92484367541766,428.67466335135134,411.6132681992337,416.56718275862073,402.84623684210527,419.69254736371767,514.266811965812,411.91435789473684,495.2032863247863,420.8556752136752,413.5550769230769,423.01888888888885,420.80460533419716,435.0143285024155,476.1504406077348,403.35788636363634,420.7550221799747,417.01203846153845,473.22103846153846,400.1313401759531,402.46783823529415,405.4283931281491,423.85709822866346,398.7789230769231,430.30044610474397,505.4799396551724,421.0478034188034,575.2056153846154,422.6201666666667,417.9892947368421,540.1282008547008,428.0438859649123,408.63729411764706,412.7049925496688,406.0832262479871,409.766104216253,408.7351081677704,489.81147008547015,539.9463931623932,417.1027564102564,411.4127222222222,419.83385209713026,399.89438165905636,425.84934585460127,442.0240484444444,435.9863261802575,418.44705555555555,488.5219268292683,414.5935,451.02742353330495,411.69612727272727,404.65743034825874,403.17317612033844,489.7340042735043,430.9510982905983,433.59384615384613,413.55687089579976,406.986141025641,416.2750388041044,546.134982905983,404.36536842105266,406.2625969551282,435.7814439655172,412.42798710865566,515.9820794701986,415.28101032110095,432.87560512344726,410.8487948717949,411.2742905982906,425.1093263157895
11,408.6190546875,410.97887589498805,429.0232149653979,411.9685019157088,416.4085206896552,403.2981052631579,419.93282305630026,511.6238034188034,411.96897719298244,496.54661111111113,420.1206538461538,413.74456410256414,424.25447863247865,420.53624043126683,434.804614331723,475.913182320442,403.55130681818184,420.4049347275032,417.0618247863248,477.9462264957265,400.2681634897361,402.7277941176471,405.66661973540477,423.7985346215781,398.97129487179484,433.5038875181423,510.9433965517241,421.2216623931624,573.5154957264957,422.6363333333333,417.9298122807018,543.9955170940171,427.18611842105264,408.55850000000004,412.6365289735099,406.2886095008052,410.1431763202725,409.2547472406181,489.3085726495727,538.5853162393162,417.01294871794875,411.5559230769231,419.8242041942605,400.01764543463776,426.015521308226,441.1199413333333,435.79523748211733,418.52480341880346,490.7499634146341,414.6336158798283,451.4524334295039,411.8604818181818,404.80635572139306,403.51478448275867,485.1614700854701,432.1260384615385,433.3585042735043,413.5941427688505,407.0979188034188,416.4556112443934,548.0898162393162,404.38330701754387,406.47175801282054,434.2907586206897,412.6524456721915,515.3359823399559,415.3278016055046,433.365667260016,411.006188034188,411.30023931623936,425.0787298245614
12,408.6541171875,411.0345584725537,429.36961891167056,411.6715082407053,416.658416918429,403.48681578947367,419.85277147198144,503.9967964071856,412.33027202527205,500.1977844311377,422.8533105218135,413.85184345594524,423.7694781864842,420.4116904298985,434.81056530842324,475.2697402597402,403.67504555808654,420.4440112815313,417.2375491873396,481.393002566296,400.24925042214227,402.92517699115047,406.1992708207056,423.9829940409084,399.1664927288281,435.352057010227,513.182448275862,420.5260863986313,562.453866552609,422.4471111111111,417.92228325728325,546.2720316509838,428.7858384547849,407.95613235294115,412.7120789865872,406.3848437751651,410.16627364116545,409.2068966659306,493.70505560307953,536.098233532934,417.70202737382374,411.72266894781865,420.0346721130492,400.0640779196038,426.1802596887699,441.94069739532404,435.65612247818,418.7203507271172,489.21034580960134,414.8832737158392,451.9837345401128,411.8470247933884,404.91225983076157,403.56065841040913,486.6400301204819,433.41160775862073,435.82581693755344,413.58212881691185,407.2604833190761,417.44549051292745,544.3590761334474,404.4512776412776,406.42026777840135,434.43163071613463,412.7492337447043,515.2064307794215,415.2129685707731,433.52515849846276,411.1254277159966,411.3422369546621,425.12440856440855
13,409.16661718750004,411.40561933174223,429.83584429065746,411.76691379310347,416.8291443478261,403.2171052631579,419.9700750670241,506.03762393162395,412.59736842105264,508.5430854700855,424.20472222222224,414.041594017094,423.69605982905983,420.8279017278618,434.7258204508857,475.23456491712705,403.69317045454545,420.3274866920152,417.3782820512821,482.4760042735043,400.3939214390602,402.9608823529412,406.37457878787876,423.89621658615135,399.33768803418803,434.0269905797101,513.0932435897436,420.8166153846154,558.063735042735,422.1898055555555,418.11105614035085,546.185076923077,428.5807841409692,407.93017647058826,413.0946713576159,406.7825024154589,409.9177393526405,408.67559602649004,493.4223162393162,538.0166495726496,417.61291025641026,411.79977777777776,420.5896225165563,400.14107619047616,426.52166897918727,442.38617066666666,436.10569098712443,418.87558547008547,489.61678455284556,415.26851430615164,452.36937630331755,412.6633888888889,405.0822313432836,403.31589968652037,486.9463318965517,432.95618103448277,439.5160641025641,414.21555809641535,407.7752564102564,416.73033802083336,540.645923076923,404.8611385964913,406.590727929374,436.0139913793103,413.062817679558,514.9167836644591,415.3181467889909,433.7850361383583,411.54658547008546,411.60224786324784,425.24108245614036
14,409.20628124999996,411.4535047732697,429.923402249135,411.6143295019157,416.624932173913,403.37939473684213,419.8139690905843,508.7634358974359,412.66836842105266,511.46860683760684,422.587952991453,414.01881196581195,426.1697991452991,420.8910745140389,434.58155072463774,474.84394751381217,403.69132954545455,420.46957731305446,417.4797051282051,482.34597863247865,400.3037856093979,402.99625000000003,406.221003030303,423.9250966183575,399.2497948717949,437.9974666666667,512.9042094017094,419.50431196581195,565.164594017094,422.6133611111111,418.0884877192982,539.4407692307692,425.94300970873786,408.4874852941176,413.1260306291391,406.6801835748792,409.9015153321976,408.58788410596026,495.0387393162393,542.7150555555555,418.08192307692303,411.725,420.09566225165565,400.2037514274838,426.5197111000991,441.7660137777778,435.8146652360515,418.86637179487184,488.42115244642133,415.42718097281835,451.78793791469195,412.41025925925925,405.0723955223881,403.3073989028213,491.10840948275865,433.19607204116636,438.230405982906,414.18829048207664,407.7866068376068,416.58212864583334,539.1424487179487,404.8048438596491,406.72838523274476,437.14328448275865,412.9802605893186,514.0998995584989,415.43972706422016,434.02221413453105,411.519811965812,411.6168076923077,425.3530333333333
15,409.4016953125,411.7884116945107,429.70402854671283,411.9680862068966,416.74052347826085,403.476,419.97948882931195,506.8685042735043,412.7901157894737,510.8849743589744,421.92558119658116,414.03014102564106,427.91729487179487,421.01530345572354,434.5103268921095,474.38087430939225,403.78035227272727,420.3024607097592,417.5217094017094,480.67050427350426,400.4013597650514,402.9655588235294,406.3446721609502,423.9824170692432,399.3315426880812,440.0034507246377,517.0309615384615,420.7632735042735,573.0927905982905,422.61544444444445,418.3566473684211,540.5185341880342,425.2270695652174,407.8089117647059,413.26351821192054,406.7351618357488,409.98824787052814,408.73111479028694,496.8514017094017,540.0953504273505,417.65986324786326,411.8269145299145,419.83213245033113,400.3877314285714,426.54680773042617,439.66767466666664,435.4121258941344,418.9325769230769,482.439898989899,415.49064735336196,451.7264843601896,412.58782407407404,405.1076094527363,403.4029945141066,493.761108258451,431.3969829059829,439.37778205128205,414.2505859085291,407.8771367521368,416.63188229166667,537.4052350427351,404.73166315789473,406.8763956661316,438.36419396551725,412.9455313075506,511.5115132450331,415.6314002293578,434.2003461082168,411.5447136752137,411.63637179487176,425.55237543859647
16,409.63214062500003,411.7132291540968,429.6633737024221,411.9179355084907,416.3905017391304,403.5812105263158,419.87572296693475,503.91010256410254,412.60264210526316,509.0849914529914,421.08361538461537,414.0091752136752,427.1053418803419,420.86211879049677,434.71177133655397,473.73276657458564,403.2515321756895,420.1602154626109,417.4084914529914,480.9642649572649,400.31957488986785,402.92144117647064,406.2737524213075,424.04379066022545,399.37124580536914,442.9098942258929,515.3631923076923,421.4928803418803,572.5936153846154,422.2638888888889,418.11237017543857,538.5576282051283,423.04461739130437,408.50896755162245,413.16438410596027,406.74283494363925,410.34325468483814,409.2535883002207,493.89276923076926,537.0187350427351,417.3128504273504,411.78028632478635,419.7508046357616,400.22278380952383,426.53556739345885,428.66651733333333,435.29567882689554,418.8976923076923,481.038564516129,415.1442067238913,451.7832725118484,412.8123518518519,405.06402736318404,403.50876959247654,493.8325341880341,429.944688034188,438.01354273504273,414.24392274412855,407.7019145299145,416.5943825136612,530.0430982905983,404.6734719298246,406.61534831460676,439.26502586206897,412.9111261510129,499.9920386313466,415.53244266055043,434.0914553239785,411.474858974359,411.6300982905983,425.31293508771927
17,409.5558855799373,412.12465947649054,429.5497851935428,412.0511794969512,416.79247772147477,403.3573947368421,419.87391212826947,510.0969135273972,412.50720288326306,505.2458604452055,419.97190924657536,413.9285958904109,428.26440496575344,420.46931601731603,434.3238524854745,475.65190199335547,403.74171,420.31539062499996,417.34131849315065,481.51972602739727,400.3608316161319,402.97397058823526,406.4564464513001,423.9880067785668,399.2773184121621,440.9925442542078,515.4783433219178,422.1544392123288,572.1271147260273,422.8098888888889,418.28064873417725,540.5893964041096,421.74131112072695,408.3938181818182,413.4137578825092,406.85356601032925,410.3895416524411,409.59500884955753,493.92410530821917,540.7078210616438,417.4429623287671,411.77012414383563,419.95290707964597,400.23314910271097,426.5562641453246,427.3877383285816,435.49918554631483,418.82240154109587,483.004091276252,415.6655054488098,451.44007790233707,412.47491773308957,405.0324501495513,403.82076500157086,489.5257885689729,428.511301369863,438.701091609589,414.1947330277502,407.94585616438354,416.5494217935349,531.177658390411,404.7810284810127,406.6407078507079,440.26729274611404,412.8860188261351,498.5262422566372,415.8348908045977,434.2135990288253,411.61520119863013,411.67236729452054,425.6839961322081
18,409.40200793650797,411.94900245700245,429.49864643799475,411.5381890067502,416.48950088967973,403.19502631578945,419.7112364376131,510.8974482758621,412.5224858156028,503.66912068965524,420.492525862069,413.84066379310343,429.1027112068966,420.2868951965065,434.2405447882736,479.52226955307265,403.57183000000003,420.01529294871796,417.2428146551724,480.08103448275864,400.3735126300149,402.6836617647059,406.1951666666667,424.0618607491857,399.1031058020478,438.3858850658858,516.2391637931034,421.9347155172414,572.082751185856,422.75922222222226,418.0229663120567,541.4859827586207,422.14788695652175,408.16648484848486,413.170824120603,406.7358973941368,410.6066394148021,409.8876529017857,494.4766120689655,543.0035086206896,417.2880818965517,411.7410301724138,420.3626986607143,400.2280549132948,426.51564716489685,427.0442342625899,435.57435021707664,418.64001724137927,481.4914227642276,415.73688133140377,450.9716140939597,412.1848157894737,405.0095653266332,403.89814896988906,488.6143434782609,428.6285172413793,438.71733620689656,414.218955625,408.16772413793103,417.41397810411075,533.1964999999999,404.9461223404255,406.5498896103896,439.4350613496933,412.76401955307267,502.23110044642857,415.4448584686775,434.3201151846074,411.708525862069,411.5686077586207,425.23564007092193
19,409.3299603174603,411.80901703640154,429.4389744942832,411.47122393822394,416.3344065836299,403.08590659340655,419.6547640144666,509.99689655172415,412.29583865248225,502.8746077586207,420.6928620689655,413.7867974137931,429.6964353448276,420.34396834061135,434.1919234527688,480.1504245810056,403.60719200887905,420.12039038461535,417.10563793103444,480.7214956896552,400.2444598811293,402.44826149425285,406.11371855921857,424.0207931596091,399.00311934510984,437.8531705710102,512.3684482758621,421.3603620689655,572.6125695652173,422.26405555555556,417.941865248227,544.6088275862069,422.19278260869567,407.564196969697,413.3126666666667,406.6954543973941,411.1070542168674,410.5099464285714,495.93169396551724,545.5588793103449,417.0765775862069,411.640875,420.18534709821427,400.037661849711,426.4843013013013,429.4294887589928,435.36706584659913,418.5634310344828,480.7867886178862,415.64987337192474,450.83201006711414,411.9011052631579,404.95737185929653,404.2216323296355,485.91040434782605,431.7927198275862,436.9636637931034,414.22093375000003,408.30090517241376,416.36452663189505,533.3070818965517,404.7112056737589,406.4191810064935,438.99962280701754,412.6003519687964,507.7183404017857,415.36672737819026,434.0361638065522,411.70569827586206,411.4611637931035,425.31541134751774
20,409.24338095238096,411.8813615196079,428.97900158618256,411.2801602316602,416.12581548306815,403.01155555555556,419.5898765822785,508.8583232758621,412.12890070921986,504.1036379310345,421.2639870689655,413.7426637931034,428.193650862069,420.18730895196506,433.9071221498371,480.1549036312849,403.32094318181817,420.08978717948713,416.9622844827586,480.8768146551724,400.14851040118873,402.53430000000003,405.8348199023199,423.98581026058633,398.92037931034486,440.58978257686675,510.45443103448275,421.8235,569.5043086956522,421.0228217821782,417.9158209219858,539.9766681034483,421.04090869565215,407.35966666666667,413.1574882747069,406.55761319218243,411.6671549053356,411.6660011160714,494.6734870689655,546.8735431034484,417.42126724137927,411.51837068965517,420.5537890625,400.048838150289,426.4077737737738,439.4292810251799,436.377492040521,418.44025,480.30553252032524,415.4135976845152,451.33574400767014,411.99037719298246,404.814432160804,404.687765451664,487.7983362445415,431.37636637931035,437.23123275862065,414.09875875,408.16370689655173,416.29553222836097,536.816827586207,404.7864113475177,406.3270357142857,439.0614204296361,412.539624674842,515.4978549107143,415.3228584686775,433.9676424856994,411.62407327586203,411.4533146551724,425.2785939716312
21,409.14214285714286,411.6912549019608,428.52872096610696,411.23539768339765,416.09362788632325,402.8956111111111,419.568119801085,508.82095689655176,412.13930496453906,502.67975,420.5333577586207,413.6068922413793,428.2672025862069,420.32244541484715,434.5651856677525,481.72649441340786,403.49512500000003,419.9909935897436,416.82540517241375,477.3713275862069,400.01739747399705,402.4378571428571,405.9200634920635,423.93234690553743,398.8392284482759,438.08441142020496,508.9105818965517,421.9221206896552,564.7691652173913,420.72211904761906,418.31291843971627,541.0064137931034,418.8289652173913,407.45684848484854,413.12273366834177,406.4171913680782,411.0269061962135,410.71192299107145,491.0197068965517,545.4205646551724,417.60805603448273,411.41300431034483,422.04204687500004,399.92751734104047,426.24932732732736,441.82909847122306,437.7924522431259,418.36374568965516,480.15648780487805,415.2823154848046,452.8374674017258,412.58165789473685,404.7684120603015,404.06232963549917,487.38255701754383,432.24411637931036,436.76825862068966,414.057350625,408.05670689655176,416.14593947368417,535.0625043103448,406.0148226950355,406.3103506493506,438.73615652173913,412.44752695167284,518.1731339285715,415.2416542923434,433.99553692147686,411.6288405172414,411.269698275862,425.3574273049646
22,408.8525,411.8068855880187,428.5805340083645,411.2315752895753,416.09709591474245,402.8678611111111,419.52105244122964,511.012426724138,411.95738829787234,498.9102112068965,420.6174137931035,413.60076293103447,424.50243965517245,420.108655021834,435.1154193811075,483.3857751396648,403.615625,419.89708333333334,416.73928879310347,476.19173275862073,399.97462332838035,402.3867142857143,405.8641660561661,423.94755781758954,398.7742629310345,435.5825915080527,504.47514224137933,422.22609913793104,564.4158695652173,420.50637037037035,417.69580673758867,539.0818836206896,417.8398521739131,408.39672727272733,413.1275995640144,406.4137109120521,410.49817297762473,409.3826194196429,490.6102112068965,543.71,417.23877586206896,411.29377155172415,421.68484486607144,399.9490973025048,426.1679319319319,441.67488579136693,437.5501801736614,418.34325431034483,479.58425203252034,415.18752387843705,451.79107813998087,412.4617719298245,404.6673291457286,403.52065213946116,488.16760526315784,433.1956551724138,437.2111551724138,414.03880687500003,407.9367413793103,416.1183978947368,531.8049353448275,405.52150531914896,406.030551948052,437.7793554006969,412.3846672862453,518.6465747767857,415.3339316835134,433.7846271450858,411.5613189655173,411.1896637931035,425.50317730496454
